document_id,document_name,sort_order,chunk_id,block_count,char_count,plain_chars,data_chars,html_chars,data_kb,plain_kb,html_kb,total_payload_kb
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,262,41eaa312-f0cc-4469-8e06-04fb498981e4,24,5741,5741,8396,6006,12.43,9.85,10.09,32.37
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,263,cb8dcb7d-cdef-4536-803c-6049dffc51b4,24,11160,11160,13852,11408,21.93,19.31,19.54,60.78
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,264,5e1e476f-9c02-4f77-8f11-99a6eba4bd17,24,13355,13355,16115,13627,25.96,23.29,23.53,72.79
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,265,135fc733-22e8-4a37-9ca2-199695f820fa,24,13807,13807,16619,14101,26.58,23.84,24.12,74.54
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,266,c9145aca-d900-4e14-b927-cd99591da893,24,14864,14864,17764,15190,28.68,25.87,26.16,80.71
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,267,eb25f070-c81c-4913-9d9f-2a10f72837a4,24,6273,6273,8738,6450,13.39,10.99,11.15,35.52
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,268,2d25d5fa-af37-4c66-9c1b-a2fb41086a84,24,6101,6101,8586,6288,13.12,10.70,10.88,34.70
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,269,81ba5c82-e9bf-4b2d-953f-71d91ba651a7,24,8811,8811,11391,9028,17.93,15.42,15.62,48.97
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,270,e3573c70-18c5-4878-8a5d-3a5f465ae6ed,24,14076,14076,16703,14276,27.34,24.78,24.97,77.09
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,271,349b1480-d546-42a1-8a09-07ff87ee30d4,24,9545,9545,12332,9855,19.41,16.72,16.99,53.12
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,272,7499d467-c185-467a-b8e0-015870e05a3a,24,8935,8935,11779,9397,18.02,15.26,15.69,48.97
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,273,344b798d-fb9d-4ee0-b91f-f64114f8eb21,24,3412,3412,5847,3586,8.08,5.70,5.87,19.66
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,274,04cfe4ca-0e3f-4f1d-b631-ecfc70e9c299,24,4322,4322,6833,4532,9.84,7.40,7.59,24.83
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,275,45db07cc-926f-40d3-b803-6c67af8eca18,24,2472,2472,4844,2627,6.49,4.17,4.32,14.98
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,276,5d12b58a-24c6-4e5d-8032-fc8422e37198,24,8142,8142,10744,8368,16.83,14.30,14.51,45.64
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,277,ca65d0a1-7f39-409a-b754-efa0374017c9,24,8649,8649,11388,8932,17.54,14.88,15.14,47.57
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,278,be753f7e-3327-49eb-a9a2-6d2bbdc2d9c7,24,6629,6629,9181,6840,14.09,11.61,11.80,37.50
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,279,6981b0bf-3fb7-490a-b431-a16e45a09e28,24,10403,10403,13032,10742,21.02,18.46,18.78,58.26
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,280,6c8ec18b-bb07-4e5a-b039-9d2e4a5cc1f3,24,7004,7004,9580,7225,14.73,12.22,12.43,39.38
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,281,dcd155e4-9487-42c7-8b53-c0caf75b9434,24,3150,3150,5521,3300,7.66,5.34,5.49,18.49
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,282,e2dfe329-6c57-4d83-bd12-9915ca07732c,24,3879,3879,6350,4070,9.15,6.74,6.92,22.81
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,283,b492f13e-8267-4219-9c1b-8f2714efd22a,24,5303,5303,7747,5475,11.65,9.27,9.43,30.36
418feb2d-0819-472f-8ac8-4c9ca3858773,NewRichTextDocument1,284,04ddc6a2-d2a3-4029-817c-62ab02112487,24,5251,5251,7684,5416,11.50,9.13,9.29,29.92
